VBG,NNS,TO,RBS,DT,XX,VBD,VBN,JJ,WP,CC,EX,PDT,PRP$,CD,WDT,_SP,IN,WP$,RP,NNPS,LS,WRB,JJR,FW,RBR,'',POS,ADD,VB,JJS,UH,VBZ,PRP,NN,VBP,MD,NNP,RB,depression
0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,2,0,2,3,1
0,2,1,0,4,0,2,0,4,0,1,0,0,1,2,1,1,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,5,0,0,0,0,1
1,3,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,4,4,1,1,0,4,1
3,7,4,0,11,0,2,7,11,2,4,0,0,3,0,1,1,13,0,0,0,0,2,0,0,0,0,0,0,8,1,2,6,5,17,7,3,1,15,1
3,17,5,2,12,0,1,4,18,5,9,1,1,7,2,4,0,30,0,0,0,0,5,0,0,1,0,0,0,13,2,1,19,31,22,12,5,3,37,1
2,6,0,0,4,0,0,1,3,0,1,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,3,0,1,7,1
0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,3,0,0,0,1,1
3,2,0,0,3,0,0,0,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,1,1,1,0,2,1
2,3,1,0,11,0,2,0,5,0,0,0,0,1,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,13,1,0,1,4,1
3,1,0,0,4,0,0,0,5,0,1,0,0,4,1,2,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,4,9,2,0,0,4,1
